48.000,8.179,115.920,-160.000,8.690,-0.025,18.607,-1.351,0.025,-58.568,0.661,-0.004
48.000,60.000,-94.802,-160.000,7.744,-0.023,20.884,13.493,111.786,9.601,1.334,-0.003
48.000,60.000,-97.126,-160.000,7.761,-0.015,19.666,11.655,108.972,9.201,1.480,-0.004
48.000,59.654,-99.615,-160.000,7.773,-0.007,18.468,10.099,106.129,9.569,1.570,-0.002
48.000,57.965,-101.992,-160.000,7.784,0.002,17.294,8.741,103.391,10.318,1.626,0.002
48.000,56.554,-104.222,-160.000,7.794,0.015,16.151,7.558,100.809,11.222,1.660,0.006
48.000,55.444,-106.197,-160.000,7.803,0.013,15.058,6.463,98.527,11.932,1.682,0.004
48.000,54.411,-108.091,-160.000,7.809,0.010,13.947,5.450,96.338,12.695,1.700,0.005
48.000,53.485,-109.831,-160.000,7.814,0.006,12.832,4.520,94.304,13.416,1.714,0.006
48.000,52.646,-111.378,-160.000,7.816,0.002,11.725,3.671,92.419,14.093,1.726,0.009
47.822,51.872,-112.692,-160.000,7.816,-0.006,10.627,2.887,90.676,14.717,1.737,0.012
47.975,51.977,-160.000,-160.000,7.751,0.004,10.213,-0.123,107.281,40.205,1.838,0.012
46.771,49.646,-160.000,-160.000,7.751,0.019,8.066,0.916,108.123,33.194,2.030,0.021
45.507,47.582,-160.000,-160.000,7.749,0.032,6.225,1.171,108.185,29.169,2.170,0.024
44.266,45.740,-160.000,-160.000,7.743,0.042,4.598,1.127,107.813,26.780,2.284,0.025
43.059,44.429,-160.000,-160.000,7.734,0.048,3.039,1.541,101.274,29.629,2.786,0.026
42.033,43.129,-158.346,-160.000,7.720,0.053,1.893,1.281,95.947,30.417,3.278,0.023
41.114,41.958,-155.522,-160.000,7.703,0.059,0.948,0.897,91.322,30.243,3.752,0.018
39.992,40.770,-152.493,-160.000,7.678,0.064,-1.182,1.069,91.719,27.477,4.333,0.378
39.600,39.934,-150.072,-160.000,7.653,0.066,0.678,-1.686,88.923,24.640,3.979,-0.253
38.741,38.967,-147.415,-160.000,7.631,0.068,-0.723,-0.572,93.237,15.817,2.773,-0.148
36.810,30.825,-60.805,-160.000,7.655,0.043,1.037,-1.442,57.656,-19.302,2.533,-0.104
36.481,34.029,-67.915,-160.000,7.691,0.009,0.057,0.400,46.675,-1.209,2.412,-0.051
36.572,35.812,-72.931,-160.000,7.719,-0.012,-0.036,0.107,39.792,7.412,2.295,-0.036
36.797,37.100,-76.467,-160.000,7.728,-0.025,0.074,-0.495,35.122,11.319,2.178,-0.029
37.070,38.148,-78.919,-160.000,7.721,-0.033,0.202,-1.019,31.724,12.890,2.060,-0.022
37.389,39.024,-80.540,-160.000,7.699,-0.041,0.313,-1.426,29.109,13.307,1.941,-0.014
37.486,39.652,-81.204,-160.000,7.657,-0.055,-1.283,-0.407,27.785,14.955,2.599,0.448
37.966,39.820,-81.750,-160.000,7.614,-0.074,-1.735,-1.265,26.917,15.297,3.056,0.706
38.213,41.192,-81.255,-160.000,7.490,-0.037,0.653,-4.777,26.678,15.211,3.584,0.146
38.574,42.026,-80.648,-160.000,7.390,-0.010,2.836,-6.023,28.423,10.528,3.081,-0.528
21.359,34.605,-76.972,-160.000,7.386,0.009,-14.314,1.897,89.938,-139.286,1.588,-0.282
19.031,36.140,-81.862,-160.000,7.321,0.023,-25.800,17.485,64.908,-77.448,1.381,1.114
21.324,34.896,-83.772,-160.000,7.246,0.024,-12.890,7.507,72.261,-84.246,2.745,0.149
21.181,34.186,-85.674,-160.000,7.186,0.027,-12.087,5.286,84.099,-95.500,2.351,0.072
20.767,33.956,-88.362,-160.000,7.131,0.030,-11.911,4.292,90.020,-100.731,2.066,0.030
20.214,33.965,-91.507,-160.000,7.076,0.032,-12.064,3.862,92.335,-102.423,1.858,-0.001
19.624,34.162,-94.704,-160.000,7.027,0.032,-12.466,3.890,92.366,-101.655,1.708,-0.008
19.022,34.440,-97.973,-160.000,6.974,0.033,-12.938,4.038,91.141,-99.563,1.588,-0.013
18.459,34.709,-101.149,-160.000,6.921,0.034,-13.429,4.249,89.231,-96.651,1.490,-0.016
17.942,34.913,-104.165,-160.000,6.871,0.039,-13.909,4.490,86.982,-93.234,1.404,-0.016
4.105,30.808,-123.744,-160.000,6.428,0.035,-13.730,8.321,119.516,-156.716,2.079,-0.010
3.042,31.901,-127.825,-160.000,6.354,0.032,-14.844,9.344,114.635,-150.488,1.995,-0.008
2.101,32.828,-131.650,-160.000,6.278,0.029,-15.828,10.274,110.092,-144.229,1.909,-0.007
