0.588,-0.809,0.000,0.000,0.000,0.019,-0.043,-0.066,0.498,-0.251,-0.003,0.017,-0.004,-0.195,0.467,-0.160,-0.037,-0.932,1.154,2.336,-1.707,-6.504,18.897,-0.153,-0.252,1.657,-2.279,-8.029,-13.794,0.019,0.018,0.318,-0.003,-0.006,-0.002,-0.215,-0.257,0.154,2.697,5.000,0.834,-0.125,-0.107,-0.789,1.347,4.111,-1.923
0.407,-0.914,0.000,0.000,0.000,0.002,-0.052,-0.078,0.574,-0.387,0.036,0.006,0.001,-0.203,0.494,-0.309,-0.005,-1.060,0.859,1.015,0.382,-8.830,4.579,-0.521,-0.009,-3.425,7.471,-3.562,0.283,0.338,0.311,0.407,0.001,-0.005,0.004,-0.790,-0.393,-0.488,3.752,5.000,1.607,-0.175,0.110,-0.417,1.234,5.000,-4.624
0.208,-0.978,0.000,0.000,0.000,-0.016,-0.057,-0.115,0.700,-0.450,0.110,0.001,-0.006,-0.254,0.626,-0.375,-0.002,-1.162,0.477,-1.160,4.432,-0.901,12.291,-0.252,-0.311,-1.672,5.937,-3.245,0.244,0.058,-0.387,0.476,0.008,-0.007,0.009,-1.112,-0.356,-1.845,5.000,4.733,1.526,-0.569,0.625,-0.092,1.088,5.000,-5.000
0.000,-1.000,0.000,0.000,0.000,-0.031,-0.082,-0.160,0.807,-0.471,0.061,-0.003,-0.016,-0.270,0.731,-0.439,0.004,-1.074,-0.247,-1.767,3.267,0.917,11.050,-0.317,-0.329,-0.108,4.783,-3.120,0.247,-0.048,-1.062,0.645,0.008,-0.026,0.019,-0.832,-0.836,-2.160,5.000,1.358,-0.058,-0.976,0.698,-0.223,0.885,5.000,-5.000
-0.208,-0.978,0.000,0.000,0.000,-0.052,-0.100,-0.192,0.893,-0.511,0.011,-0.012,-0.018,-0.262,0.819,-0.501,0.008,-1.643,0.773,-1.077,3.935,-2.355,27.597,-0.623,0.153,0.650,4.220,-3.046,0.274,0.108,-1.573,0.259,0.010,-0.055,0.026,-0.744,-0.895,-1.629,5.000,-1.255,-4.609,-1.230,0.631,-0.590,1.095,5.000,-4.563
-0.407,-0.914,0.000,0.000,0.000,-0.067,-0.125,-0.216,0.960,-0.562,-0.000,-0.021,-0.016,-0.253,0.898,-0.558,0.012,-0.839,-0.396,-1.134,3.520,-3.313,18.774,-0.488,0.228,0.405,3.863,-2.791,0.259,0.086,-1.402,-0.169,0.011,-0.085,0.024,-0.104,-0.959,-1.482,4.878,-1.450,-5.000,-1.355,0.262,-1.044,1.166,2.531,-3.501
-0.588,-0.809,0.000,0.000,0.000,-0.068,-0.137,-0.241,0.990,-0.608,-0.058,-0.028,-0.009,-0.253,0.972,-0.608,0.016,-0.301,0.865,-1.171,1.962,-4.487,23.322,-0.320,0.408,-0.207,3.665,-2.437,0.269,-0.083,-1.012,-0.219,0.013,-0.109,0.020,0.227,-0.751,-1.493,4.421,-1.718,-5.000,-1.231,0.071,-1.428,0.995,-0.939,-3.162
-0.743,-0.669,0.000,0.000,0.000,-0.067,-0.129,-0.254,1.011,-0.650,0.028,-0.033,-0.005,-0.258,1.041,-0.655,0.022,-0.786,2.453,-0.867,2.378,-2.710,27.022,-0.313,0.256,-0.317,3.373,-2.306,0.420,-0.168,-0.805,-0.055,0.010,-0.127,0.014,0.502,-0.591,-1.355,3.934,-2.459,-5.000,-1.274,-0.028,-1.433,1.325,-1.215,-3.517
-0.866,-0.500,0.000,0.000,0.000,-0.076,-0.124,-0.269,1.078,-0.680,0.044,-0.041,0.001,-0.270,1.099,-0.689,0.034,-0.554,0.317,-0.787,2.875,-1.231,0.861,-0.531,0.324,-0.743,2.564,-1.423,0.613,-0.029,-0.419,-0.182,0.009,-0.137,0.012,0.640,-0.610,-1.304,3.879,-1.705,-5.000,-1.576,0.192,-1.760,1.323,-3.037,-4.001
-0.951,-0.309,0.000,0.000,0.000,-0.086,-0.115,-0.278,1.119,-0.697,0.059,-0.051,0.009,-0.279,1.135,-0.708,0.047,-0.381,0.420,-0.257,1.532,-0.550,0.652,-0.376,0.392,-0.236,1.252,-0.635,0.636,-0.032,-0.389,-0.302,0.010,-0.145,0.006,0.723,-0.234,-1.317,3.066,-1.549,-5.000,-1.507,0.136,-1.456,1.420,-1.487,-3.485
