-0.454,-0.891,-0.200,0.000,0.000,0.016,-0.082,-0.004,0.000,0.003,-0.016,-0.055,-0.010,0.146,-0.148,0.058,-0.021,0.061,-0.127,0.177,-0.086,-0.004,-0.003,-0.015,0.016,-0.000,0.002,-0.008,0.000,-0.012,0.003,0.006,0.034,0.092,0.010,-0.157,-0.117,-0.049,0.273,-0.186,0.085,-0.132,0.103,0.487
-0.588,-0.809,-0.200,0.000,0.000,0.025,-0.066,0.033,0.000,0.003,-0.017,-0.062,-0.007,0.144,-0.146,0.053,-0.024,0.058,-0.124,0.177,-0.079,0.008,-0.003,-0.019,0.009,-0.004,0.006,-0.015,-0.010,-0.007,0.012,-0.000,-0.000,-0.060,0.010,-0.102,-0.144,-0.059,0.226,-0.149,0.121,-0.109,0.086,0.504
-0.707,-0.707,-0.200,0.000,0.000,0.017,-0.045,0.061,0.000,0.003,-0.018,-0.066,-0.006,0.143,-0.144,0.048,-0.024,0.058,-0.119,0.175,-0.084,-0.004,-0.003,-0.005,-0.001,-0.002,0.007,-0.025,0.003,0.006,0.011,-0.005,-0.006,0.001,0.010,-0.068,-0.128,-0.017,0.182,-0.226,0.153,-0.098,0.066,0.507
-0.809,-0.588,-0.200,0.000,0.000,0.011,-0.053,0.040,0.000,0.002,-0.019,-0.062,-0.005,0.141,-0.141,0.055,-0.028,0.061,-0.115,0.174,-0.081,-0.000,-0.002,0.014,0.003,-0.001,0.007,0.025,-0.012,0.007,0.006,-0.002,0.011,0.029,0.008,-0.045,-0.128,0.060,0.114,-0.251,0.177,-0.096,0.036,0.519
-0.891,-0.454,-0.200,0.000,0.000,0.011,-0.045,-0.035,0.000,0.002,-0.020,-0.054,-0.005,0.142,-0.139,0.061,-0.030,0.064,-0.114,0.172,-0.073,0.016,-0.001,0.022,0.001,0.001,0.002,0.007,-0.002,0.010,-0.001,-0.003,0.017,0.023,0.013,-0.048,-0.167,0.226,0.041,-0.285,0.167,-0.098,-0.007,0.525
-0.951,-0.309,-0.200,0.000,0.000,-0.017,-0.037,-0.053,0.000,0.002,-0.020,-0.044,-0.008,0.149,-0.139,0.061,-0.031,0.067,-0.114,0.171,-0.071,0.005,0.000,0.024,-0.009,0.011,0.002,0.006,-0.002,0.004,-0.002,-0.000,0.000,-0.002,0.034,-0.094,-0.243,0.425,-0.062,-0.329,0.083,-0.103,-0.022,0.552
-0.988,-0.156,-0.200,0.000,0.000,-0.038,-0.032,-0.017,0.000,0.002,-0.019,-0.038,-0.018,0.163,-0.139,0.061,-0.032,0.065,-0.116,0.171,-0.068,0.005,0.005,0.010,-0.032,0.045,0.001,0.003,-0.000,-0.013,-0.005,0.002,0.011,-0.003,0.102,-0.113,-0.276,0.506,-0.197,-0.288,0.051,-0.143,0.014,0.600
-1.000,-0.000,-0.200,0.000,0.000,-0.033,-0.032,0.044,0.000,0.002,-0.012,-0.040,-0.037,0.187,-0.138,0.062,-0.031,0.057,-0.121,0.177,-0.063,0.016,0.018,-0.011,-0.050,0.055,-0.001,-0.009,0.000,-0.022,-0.012,0.013,0.011,-0.008,0.149,-0.117,-0.244,0.443,-0.260,-0.192,0.074,-0.202,0.048,0.630
-0.988,0.156,-0.200,0.000,0.000,-0.047,-0.028,0.062,-0.000,0.002,-0.004,-0.047,-0.054,0.201,-0.138,0.055,-0.026,0.051,-0.128,0.182,-0.060,0.011,0.023,-0.019,-0.044,0.025,0.002,-0.017,0.017,-0.012,-0.015,0.013,0.006,0.010,0.154,-0.106,-0.176,0.238,-0.201,-0.096,0.120,-0.252,0.081,0.614
-0.951,0.309,-0.200,0.000,0.000,-0.067,-0.025,0.027,-0.000,0.002,0.006,-0.052,-0.065,0.191,-0.135,0.045,-0.019,0.051,-0.133,0.186,-0.057,0.010,0.031,-0.012,-0.018,-0.049,0.011,-0.030,0.019,0.008,-0.011,0.004,0.002,-0.017,0.138,-0.112,-0.150,-0.027,0.009,-0.003,0.135,-0.245,0.180,0.555
-0.891,0.454,-0.200,0.000,0.000,-0.025,0.018,0.015,-0.001,0.001,0.017,-0.052,-0.068,0.185,-0.123,0.019,-0.012,0.054,-0.137,0.185,-0.056,0.007,0.016,0.007,-0.002,-0.004,0.033,-0.033,0.013,0.003,-0.014,-0.007,0.007,-0.020,0.102,-0.116,-0.176,-0.025,0.212,0.002,0.110,-0.216,0.218,0.489
-0.809,0.588,-0.200,0.000,0.000,-0.041,0.000,-0.001,-0.001,0.002,0.014,-0.051,-0.074,0.185,-0.107,0.023,-0.010,0.054,-0.138,0.180,-0.050,-0.006,-0.011,-0.000,-0.020,-0.000,0.054,0.037,0.005,-0.001,-0.003,-0.021,0.014,-0.001,0.062,-0.104,-0.184,0.141,0.326,-0.069,0.110,-0.192,0.147,0.425
-0.707,0.707,-0.200,0.000,0.000,-0.033,-0.007,0.013,-0.001,0.002,0.014,-0.051,-0.081,0.186,-0.081,0.034,-0.012,0.053,-0.138,0.169,-0.038,0.014,0.002,0.001,-0.015,0.001,0.025,-0.047,-0.010,-0.005,0.002,-0.014,0.033,0.048,0.094,-0.098,-0.150,0.123,0.403,-0.084,0.083,-0.214,0.169,0.384
-0.588,0.809,-0.200,0.000,0.000,-0.021,-0.019,0.023,-0.001,0.002,0.016,-0.051,-0.082,0.185,-0.081,0.034,-0.013,0.050,-0.140,0.166,-0.028,0.022,0.005,-0.001,-0.001,-0.003,-0.004,0.029,0.002,-0.006,-0.002,-0.008,0.006,-0.005,0.037,-0.081,-0.161,0.186,0.477,-0.093,0.099,-0.217,0.107,0.332
-0.454,0.891,-0.200,0.000,0.000,-0.012,-0.035,-0.004,-0.001,0.001,0.014,-0.050,-0.084,0.186,-0.080,0.037,-0.013,0.049,-0.139,0.163,-0.028,0.024,-0.008,0.004,-0.005,0.004,0.007,-0.003,-0.001,-0.000,0.000,-0.001,0.003,-0.006,0.035,-0.064,-0.149,0.207,0.532,-0.127,0.101,-0.238,0.078,0.279
-0.309,0.951,-0.200,0.000,0.000,-0.005,-0.048,-0.017,-0.001,0.001,0.012,-0.048,-0.085,0.189,-0.074,0.043,-0.015,0.049,-0.140,0.162,-0.026,0.025,-0.004,0.005,0.001,0.005,0.019,0.018,-0.006,0.001,-0.001,-0.001,0.002,-0.007,-0.006,-0.073,-0.142,0.236,0.584,-0.141,0.072,-0.250,0.024,0.226
-0.156,0.988,-0.200,0.000,0.000,0.009,-0.029,-0.012,-0.001,0.001,0.009,-0.047,-0.085,0.189,-0.071,0.040,-0.017,0.048,-0.140,0.160,-0.025,0.016,-0.009,0.003,-0.001,-0.002,0.002,-0.000,-0.005,-0.004,0.001,-0.006,0.003,-0.016,-0.019,-0.072,-0.119,0.247,0.622,-0.142,0.049,-0.267,-0.032,0.187
